id,chapterId,character,text,aspect,requiresPerk,comment,leftAnswer.text,leftAnswer.outcome,leftAnswer.effect.money,leftAnswer.effect.relationships,leftAnswer.effect.ego,leftAnswer.effect.skills,leftAnswer.effect.addPerk,leftAnswer.effect.removePerk,leftAnswer.nextQuestion,leftAnswer.nextChapter,leftAnswer.ending,rightAnswer.text,rightAnswer.outcome,rightAnswer.effect.money,rightAnswer.effect.relationships,rightAnswer.effect.ego,rightAnswer.effect.skills,rightAnswer.effect.addPerk,rightAnswer.effect.removePerk,rightAnswer.nextQuestion,rightAnswer.nextChapter,rightAnswer.ending
parents,dj2,Parents,We’re worried. Let us help with a monthly allowance—just until you find a real job.,hierarchisation,,,"Thanks, family bank!",,10,0,-10,0,parents,,buzzintro,buzzchapter,,"Nope, I'll earn my keep",,-10,0,10,0,,,buzzintro,buzzchapter,
buzzintro,buzzchapter,InnerVoice,After a while it becomes clear that nothing is possible without an agent in this world,"hierarchisation, freelance",,No real choice,Got it.,,0,0,0,0,,,buzz,,,Oh...,,0,0,0,0,,,buzz,,
buzz,buzzchapter,InnerVoice,You need to create some 'buzz' to get the attention of an agent. How do you do it? ,"hierarchisation, freelance, standardisation",,,Write for a comedy Youtube-Show,"The show is cringe-worthy, but you connect with some talented writers on the team.",10,10,0,0,,,screenwritingcompetition,,,Make a dramatic Tiktok about screenwriting career,Original? Sure. If you ignore the other thousand TikToks just like it.,0,0,-10,0,,,screenwritingcompetition,,
screenwritingcompetition,buzzchapter,InnerVoice,"A prestigious screenwriting competition is open for submissions, but the entry fee isn’t cheap. Do you take the risk?",freelance,,,Submit,"Your script makes the shortlist! Suddenly, everyone wants to grab a coffee with you
",-10,10,10,10,,,partycrash,,,I’m not paying to be judged,"Your wallet’s happy, but watching others win feels like getting left off the group chat.",0,0,-10,0,,,partycrash,,
partycrash,buzzchapter,FellowScreenwriter,Let's crash a Hollywood party!,freelance,,,Let's do it! ,You mix up the address and end up crashing a corporate retirement party for a 60-year-old accountant,0,0,-10,0,,,partycrash2,,,I need to work on my script.,,0,-10,10,10,,,studentfilm,,
partycrash2,buzzchapter,FellowScreenwriter,Will we stay?,freelance,,,Yes!,You meet a retired tax attorney who now wants to invest in “Hollywood projects.,0,10,0,0,,,studentfilm,,,Make a quiet exit,You slip out quietly but not before grabbing some hors d'oeuvres for dinner.,5,-10,0,0,,,studentfilm,,
studentfilm,buzzchapter,Director,I love your short script! Can I film it as my graduation project?,"freelance, collaboration",,,"Graduation film? That's below my level, but whatever",,0,-10,10,0,,,filmbudget,,,"Finally, someone is shooting my script, yay!",,0,10,-10,0,,,filmbudget,,
filmbudget,buzzchapter,Director,The school can’t finance the film. Turns out spaceship scenes are a bit out of budget.,"balance, freelance, collaboration",,,I'll invest my own money,,-20,10,10,0,,,fish,,,"Okay, I'll turn it to a one-room Covid drama.",,0,0,-10,10,,,fish,,
fish,buzzchapter,Director,"I loved your story, but I want the protagonist to turn into a fish at the end.","marginalisation, collaboration",,,Not sure the story will benefit from it.,,0,-10,5,0,,,opinion,,,"Ok, whatever...",,0,5,-10,5,,,nosense,,
opinion,buzzchapter,Director,I think the script isn’t quite there yet. What’s your take?,"marginalisation, collaboration",,,"It’s good, but I know we can do better.",,0,10,0,10,,,missing,,,Why fix perfection?,,0,-10,10,0,,,fish2,,
missing,buzzchapter,Director,Great new draft! But I still feel something is missing...,"marginalisation, collaboration",,,I have no idea...,,0,-10,0,0,,,fish2,,,The fish?..,,0,10,0,5,,,fish2,,
fish2,buzzchapter,Director,Let's still add the fish...,"marginalisation, collaboration",,,Whatever...,,0,-10,5,0,,,nosense,,,"Ok, maybe you're right",,0,10,0,5,,,nosense,,
nosense ,buzzchapter,Director,You know what? The whole fish idea just doesn’t make sense.,"marginalisation, collaboration",,,I told ya!,,0,-5,10,0,,,tenrewrites,,,"Fine, fish deleted.",,0,10,-5,0,,,tenrewrites,,
tenrewrites,buzzchapter,Director,"After ten rewrites, I’m starting to think the entire story doesn’t make sense.","marginalisation, collaboration",,,"You don't make sense.
","Frustrated, the director switches to a new project—a silent documentary about chairs. It wins every major festival award.",0,-10,-10,,,,"salarybar2, salarybarmore, salaryparents, firsthollywoodjob2",dj3,,Should we bring back the fish?,"The film is a huge festival success, and you share the credits for the fish end everybody liked so much.",0,10,10,10,,,"salarybar2, salarybarmore, salaryparents, firsthollywoodjob2",dj3,
salarybar2,dj3,InnerVoice,Your paycheck has arrived! (job: Bartender),hierarchisation,bartender,No real choice.,About time.,,10,,,,,,badtiming,,,Hope it lasts,,10,,,,,,badtiming,,
salarybarmore,dj3,InnerVoice,Your paycheck has arrived! (job: Bartender),hierarchisation,moreshifts,No real choice.,About time.,,15,,,,,,badtiming,,,Hope it lasts,,15,,,,,,badtiming,,
badtiming,dj3,InnerVoice,"You’ve been invited to a last-minute pitching session for your dream project, but your bar shift is at the same time. What do you do?",freelance,bartender,,Call in sick and head to the pitch.,"The pitch didn’t go well. And, tired of your lies, your boss fires you without paying your last salary.",0,-10,5,5,,"bartender, moreshifts",firsthollywoodjob,,,Stick to the bar job,"Fed up with the job that stole your dream, you quit right after your next paycheck.",10,0,-10,0,,"bartender, moreshifts",firsthollywoodjob,,
salaryparents,dj3,Parents,Here’s your monthly check.,"hierarchisation, marginalisation",parents,No real choice.,Much appreciated.,,10,,,,,,parents2,,,"Don't worry, I'll pay you back eventually",,10,,,,,,parents2,,
parents2 ,dj3,Parents,"By the way, how’s the search for a ‘real job’ going? You know we won’t be able to support you forever.","hierarchisation, marginalisation",parents,,"Having interviews each day, but no luck yet...","They realize you’re lying, but not before sending you one more payment.",10,0,-10,0,,parents,firsthollywoodjob,,,I’m never going to be a lawyer. Accept it.,"Goodbye, family bank.",-10,0,10,0,,parents,firsthollywoodjob,,
firsthollywoodjob,dj3,InnerVoice,"But don't worry, you’ve finally landed your first Hollywood job…",hierarchisation,,No real choice,What?,,0,0,0,0,,,producerassistant,pachapter,,"How?
",,0,0,0,0,,,producerassistant,pachapter,
firsthollywoodjob2,dj3,InnerVoice,"Congratulations, you’ve finally landed your first Hollywood job…",hierarchisation,,No real choice,What?,,0,0,0,0,,,producerassistant,pachapter,,"How?
",,0,0,0,0,,,producerassistant,pachapter,
producerassistant,pachapter,InnerVoice,...as a producer’s assistant.,hierarchisation,,No real choice,"Wait, what? ",,0,0,0,0,,,producerdemand,,,"Oh, no...",,0,0,0,0,,,producerdemand,,
producerdemand,pachapter,Producer,"I know it’s 10 PM, but here’s a quick list of things for tomorrow morning. Shouldn’t take you more than 3 hours!""",hierarchisation,,,"On it, boss!","You power through another sleepless night. The producer sends you another 'quick' list at 8 AM, because 'you’re so reliable'!",0,10,-10,0,,,bagels,,,"Sure, right after I invent a time machine.","The producer  calls you 'difficult,' and gives the tasks to someone else. You finally sleep… for now.",0,-10,10,0,,,bagels,,
bagels,pachapter,Producer,Can you find the best bagels in the city for my afternoon meeting with the studio execs? Thanks!,hierarchisation,,,Conduct an in-depth bagel investigation.,"You crisscross the city, sampling artisan bagels and delivering a box of perfection, while your script gathers dust.",0,10,-10,0,,,shooting,,,Bagels from the nearest supermarket will do. I'll work on my script.,"The producer and studio execs got food poisoning, but at least you finished a killer scene",0,-20,10,10,,,shooting,,
shooting,pachapter,Producer,The director refuses to shoot the scene as written. Everyone agrees the scene’s great—even our PA. Riiight?,"hierarchisation, collaboration, balance",,,"Right, boss","The execs call the scene offensive—and a little racist. The producer gets fired the next day, and so do you.",-10,0,-10,0,,,toothpaste,dj4,,It’s actually a pretty stupid scene,"Director triumphs, the producer is mad.",,-10,10,10,,,genius,,
genius,pachapter,Producer,"Okay, genius. Got a better idea?","hierarchisation, collaboration, balance",,,I'm just a PA here,"The producer : 'Exactly. So why are you even talking?'
The Director despises you, but at least you kept your job.""",10,-10,-10,0,,,toothpaste,dj4,,"To be honest, yes. ","The director loves your idea. The scene is the film’s standout moment, but you’re fired for blowing the budget.
",-20,5,10,10,,,toothpaste,dj4,
toothpaste,dj4,InnerVoice,A toothpaste brand is looking for a copywriter to whip up some catchy slogans. Will you give it a shot?,hierarchisation,,,Absolutely ,The client loves you so much they double your pay 'to support your artistic dream.' Who knew toothpaste could fund the next Aaron Sorkin?,20,0,10,-10,toothpaste,,toothpaste2,,,I'm not a sell out,"You tell yourself true artists don’t compromise, but the instant noodles are starting to taste like regret.",0,0,-5,10,,,agentmeetingintro,agentmeeting,
toothpaste2,dj4,InnerVoice,Now they want more. Do you keep writing toothpaste ads?,hierarchisation,,,Yes,"You used to see your heroes in your dreams. Now it’s just teeth, endlessly sparkling.",10,0,-10,-10,,,agentmeetingintro,agentmeeting,,No,"Finally, you can focus on your screenplay. No teeth, just the good old existential dread.",-10,0,10,10,,toothpaste,agentmeetingintro,agentmeeting,
agentmeetingintro,agentmeeting,InnerVoice,"Well, it seems nothing gets done in Hollywood without an agent. Lucky for you, a friend set up a meeting with theirs.",freelance,,No real choice,Great! ,,0,0,0,0,,,prepareformeeting,,,Ok...,,0,0,0,0,,,prepareformeeting,,
prepareformeeting,agentmeeting,InnerVoice,What’s the best way to nail this meeting?,freelance,,,Perfect your pitch,,0,0,10,10,,,looks,,,Research everything about the agent,,0,10,0,0,,,looks,,
looks,agentmeeting,InnerVoice,Time to work on the looks. What’s the move?,freelance,,,Get a haircut.,"The haircut is so bad, you have to cover it with a wig.",-10,0,0,0,wig,,outfit,,,Messy hair is a sign of 'writing genius.',,0,0,0,0,,,outfit,,
outfit,agentmeeting,InnerVoice,Time to pick the outfit.,freelance,,,Buy an expensive suit.,,-10,0,0,0,suit,,sweatypalms,,,Stick with my old jeans—I’m a writer after all. ,,0,-10,-10,0,,,sweatypalms,,
sweatypalms,agentmeeting,InnerVoice,"You step into the agent’s office, heart racing and palms sweaty.",freelance,,No real choice,Breathe. Just breathe.,,0,0,0,,,,sitstand,,,Why is it so hot in here?,,0,0,0,0,,,sitstand,,
sitstand,agentmeeting,Assistant,"Take a seat, they’ll be with you shortly.",freelance,,No real choice,Sit,,0,0,0,,,,"nicewig, brush ",,,Stand,,0,0,0,0,,,"nicewig, brush ",,
nicewig,agentmeeting,Assistant,"Nice wig by the way. You're strange, he’ll like it.",freelance,wig,No real choice,Uh… thanks?,,0,10,10,0,,,"suit, jeans",,,"Well, that’s reassuring",,0,10,10,0,,,"suit, jeans",,
brush,agentmeeting,Assistant,Need a brush?',freelance,,No real choice,"No, thanks",,0,-10,-10,,,,"suit, jeans",,,"That bad, hu",,0,-10,-10,0,,,"suit, jeans",,
suit,agentmeeting,Assistant,"Wow, a suit! I see you're taking this seriously",freelance,suit,No real choice,Fake it till you make it.,,0,10,10,0,,,agentsoffice,,,I even ironed it!,,0,10,10,0,,,agentsoffice,,
jeans,agentmeeting,Assistant,Jeans and a t-shirt?' You must really want your script to do all the talking,freelance,,No real choice,"Hey, at least it’s clean.",,0,-10,-10,0,,,agentsoffice,,,Exactly,,0,-10,-10,0,,,agentsoffice,,
agentsoffice,agentmeeting,InnerVoice,You’re finally ushered into the agent’s office,freelance,,No real choice,Showtime.,,0,0,0,0,,,startmeeting,,,This is it. Stay cool.,,0,0,0,0,,,startmeeting,,
startmeeting,agentmeeting,InnerVoice,"How do we start the meeting?
",freelance,,,It’s an honor to meet you.,"Nice opening. Now, let’s get down to business.",0,10,10,0,,,genremix,,,This moment! I’ve been dreaming of this day forever!,"Wow, calm down. We haven’t decided anything yet.",0,-10,-10,0,,,genremix,,
genremix,agentmeeting,Agent,I loved your script. It would make a perfect romcom.,"freelance, collaboration, standardisation",,,Play along and pitch your horror movie as a romcom,"Agent: ""Okay, I can see pitching isn’t your strong suit.'",0,-10,-10,0,,,whattodo,,,It’s actually a drama,"Ah, my mistake",0,10,10,0,,,dramasdontsell,,
whattodo,agentmeeting,InnerVoice,What to we do?,"freelance, collaboration, standardisation",,,Double down and keep pitching.,"You stumble through a bizarre pitch about serial-killing soulmates. To your shock, the agent loves it: finally, something fresh!",0,10,10,10,,,industry,,,"Admit, It’s actually a horror movie.","Agent: ""Why didn’t you just say that? """,0,-10,-10,0,,,dramasdontsell,,
dramasdontsell,agentmeeting,Agent,"The thing is, we have enough horror movies...","freelance, collaboration, standardisation",,,"I can do romcoms, too...",,0,10,-10,0,,,industry,,,But none of them are like mine.,,0,0,10,10,,,industry,,
industry,agentmeeting,Agent,"So, do you know anyone in the industry?",freelance,,,Random name drop. ,"Agent: ""Oh, I’m actually having dinner with them tonight. We’ll talk about you""",0,-10,-10,0,,,representation,,,Warner Brothers’ receptionist is a great friend of mine.,"Agent: ""Cute. Well, everyone starts somewhere. Let’s see what we can do together.""",0,10,0,0,,,representation,,
representation,agentmeeting,Agent,Why should I represent you instead of the other hundred writers knocking on my door?,freelance,,,I’m the best thing to happen to Hollywood.,,0,0,10,0,,,"toothpastesalary, polishing2",dj5,,I’m not saying you should... Should you?,,0,0,-10,0,,,"toothpastesalary, polishing2",dj5,
toothpastesalary,dj5,InnerVoice,Your paycheck has arrived! (job: toothpaste copywriter),hierarchisation,toothpaste,No real choice.,About time.,,10,,,,,,polishing1,,,Hope it lasts,,10,,,,,,polishing1,,
polishing1,dj5,InnerVoice,"The streaming service asks you to polish a B-movie script. No contract, just a ""trust us.""  But you’ll have to quit your toothpaste job. Do you take it?",hierarchisation,,,Sure.,"You deliver the edits, and they ghost you. Lesson learned.",0,0,-10,10,,toothpaste,landedanagent,writingjob,,"No way, I need stability.","You stick to the toothpaste job, but after one month, you’ve had enough and quit on your own.",10,0,10,0,,toothpaste,landedanagent,writingjob,
polishing2,dj5,InnerVoice,"The streaming service asks you to polish a B-movie script. No contract, just a ""trust us."" Do you take it?",hierarchisation,,,Sure.,"You deliver the edits, and they ghost you. Lesson learned.",0,0,-10,10,,,landedanagent,writingjob,,"No contract, no deal.",They balk at your terms and walk away.,0,0,10,0,,,landedanagent,writingjob,
landedanagent,writingjob,InnerVoice,"Against all odds, you’ve landed anagent! Time for the big offers to roll in.",freelance,,No real choice,Seriously?,,,,,,,,nosillygigs,,,I knew I had it in me.,,,,,,,,nosillygigs,,
nosillygigs,writingjob,InnerVoice,At least now  you’ll never have to take on silly gigs again. Or so you think…,,,,Wait...,,10,,-10,,,,twoprojectsintro,"
",,What?,,-10,,10,,,,twoprojectsintro,,
twoprojectsintro,writingjob,Agent,I’ve got two projects for you to choose from.,freelance,,No real choice,I'm intrigued,,,,,,,,twoprojectsintro2,,,Yeah?,,,,,,,,twoprojectsintro2,,
twoprojectsintro2,writingjob,Agent,An autobiography for a big tech mogul who's about to get canceled.,"hierarchisation, balance",,No real choice,Oh...,,,,,,,,twoprojectsintro3,,,I see...,,,,,,,,twoprojectsintro3,,
twoprojectsintro3,writingjob,Agent,Or an unpaid ghostwriting internship for a famous screenwriter.,"hierarchisation, balance",,No real choice,Hmm...,,,,,,,,twoprojects,,,Exciting..,,,,,,,,twoprojects,,
twoprojects,writingjob,Agent,So which one will you choose?,"hierarchisation, balance",,,Big tech mogul,"The mogul gets arrested before you can finish the book. Still, it was a fun and enriching experience—in more ways than one.",20,0,10,10,,,lookingforajob,dj6,,Screenwriter,"You ghostwrite the entire thing, and the screenwriter closes a deal with a big studio... without ever mentioning your name.",-10,0,-10,20,,,lookingforajob,dj6,
lookingforajob,dj6,InnerVoice,Need a day job to survive?,hierarchisation,,,Yes,,,,,,,,theater,,,No,,,,,,,,thepitchintro,thepitch,
theater,dj6,InnerVoice,"You can write a play for a local theater for a modest fee, or SMM for a tire company that offers a steady pay. Which do you choose?",hierarchisation,,,Theater,The experience fuels your creative drive and gives you just enough money to cover one-third of your rent.,5,5,10,10,theater,,thepitchintro,thepitch,,Tire company,"The paycheck is steady, but writing about tires drains your enthusiasm for storytelling.",10,,-10,,tirecompany,,thepitchintro,thepitch,
thepitchintro,thepitch,Agent,"Big news! I’ve set up a meeting with a producer for your script. Play it cool, okay? No pressure… just your entire future riding on it.",portfolio,,No real choice,Right...,,,,,,,,rehearse1,,,Got it,,,,,,,,rehearse1,,
rehearse1,thepitch,InnerVoice,"Time to rehearse our pitch! Who’s the lucky audience? Maybe, your parents?","portfolio, collaboration",,,Yes,"Wait, who’s actually going to watch this movie?",,-10,-10,5,,,producerintro,,,No,,,,,,,,rehearse2,,
rehearse2,thepitch,InnerVoice,Your fellow screenwriter?,"portfolio, collaboration",,,Yes,"Fellow Screenwriter: “You go, girl!”
Wasn't much of a help, but now you feel confident about yourself.",,,10,5,,,producerintro,,,No,,,,,,,,rehearse3,,
rehearse3,thepitch,InnerVoice,Screenwriting guru?,"portfolio, collaboration",,,Yes,"Screenwriting Guru: ""It’s solid. Except for the second act. And maybe the ending. Actually, the first act could use some work too.""",,10,-10,10,,,producerintro,,,No,You choose to trust your instincts. Brave or stupid?,,,10,-10,,,producerintro,,
producerintro,thepitch,InnerVoice,"You step into the producer's office, the air thick with power and the faint scent of overpriced cologne.",portfolio,,No real choice,Terrifying.,,,,,,,,producerstart,,,Thrilling.,,,,,,,,producerstart,,
producerstart,thepitch,Producer,"Alright, let's start. Whenever you're ready.",portfolio,,,Here’s the logline—it’s short and sweet.,"Producer: ""Okay, I’m intrigued. Keep going.""",,10,10,5,,,tuningout,,,"The story starts with the protagonist waking up in the morning""","Producer: ""Do I look like I have time to hear an audiobook?""",,-10,-10,-5,,,tuningout,,
tuningout,thepitch,InnerVoice,"Uh-oh, they’re tuning out mid-pitch. How do we save this?",portfolio,,,Keep pitching. ,The producer falls asleep. Maybe sleep meditation is your true calling?,,-10,-10,-5,,,starring,,,Turn up the drama and act it out!,"You leap onto the table, twist your ankle, but wow the producer with your passion.",,10,10,10,,,starring,,
starring,thepitch,Producer,Now who do you see starring in this?,"portfolio, collaboration",,,Timothée Chalamet,,,10,10,,,,thepitchend,,,Someone fresh and unknown.,"Right, because selling a no-name is so easy.",,-10,-10,,,,thepitchend,,
thepitchend,thepitch,InnerVoice,"They said it wouldn’t happen, but you just signed your first feature film contract.",portfolio,,No real choice,Pinch me.,,,,,,,,"theatersalary, tirecompanysalary, lendmoney",dj7,,Woohoo!,,,,,,,,"theatersalary, tirecompanysalary, lendmoney",dj7,
theatersalary,dj7,InnerVoice,Your paycheck has arrived! (job: writing for a theater),hierarchisation,theater,No real choice.,About time.,,5,,,,,,theater2,,,Hope it lasts,,5,,,,,,theater2,,
theater2,dj7,InnerVoice,"The theater offers you to write another play. With a feature film script already on your plate, will you take on the extra work?",hierarchisation,,,I can juggle both.,"Well, let’s see how you’ll handle it.",5,,10,5,,,lendmoney,,,Focus on the film,,-5,,,,,theater,lendmoney,,
tirecompanysalary,dj7,InnerVoice,Your paycheck has arrived! (job: SMM for a tirecompany),,tirecompany,,About time.,,10,,,,,,tirecompany2,,,Hope it lasts,,10,,,,,,tirecompany2,,
tirecompany2,dj7,InnerVoice,"With a feature film script already on your plate, will you keep on working for a tire company?",hierarchisation,,Reconsider salary scores,I can juggle both.,"Well, let’s see how you’ll handle it.",10,,-10,,,,lendmoney,,,Focus on the film,,-10,,10,,,tirecompany,lendmoney,,
lendmoney,dj7,Fellow Screenwriter,I've heard you're a big writer now… Can you lend me some money?,,,Don't forget to add paying back card,Sure.,"Fellow Screenwriter: ""Thanks, you saved me! I'll pay you back as soon as I can."" ",-10,10,,,loan,,advancepaymentintro,firstdraft,,"Not so big, sorry.",You can tell they won’t be texting you anytime soon.,,-10,,,,,advancepaymentintro,firstdraft,
advancepaymentintro ,firstdraft,Producer,Congrats! You just received an advance payment for your script,portfolio,,No real choice,"Well, that’s new.",,15,,,,,,advancepayment,,,I'm rich!,,15,,,,,,advancepayment ,,
advancepayment,firstdraft,InnerVoice,What will you do with the money?,portfolio,,,Celebrate! I deserve it.,,,,,,,,advancepayment2,,,Save it for later.,"Smart move. Unfortunately, responsible decisions don’t spark much inspiration.",10,,-10,,,,timetowrite,,
advancepayment2,firstdraft,InnerVoice,How?,portfolio,,,Throw a big party,The party was a blast. But were those connections really worth all the broken furniture?,-15,10,,,,,timetowrite,,,Spa day,You emerge refreshed and glowing,-10,,10,,,,timetowrite,,
timetowrite,firstdraft,InnerVoice,But now it's time to write...,"collaboration, balance",,No real choice,"Ugh, already?",,,,,,,,fourweeks,,,"Fine, fine...",,,,,,,,fourweeks,,
fourweeks,firstdraft,Producer,You’ve got four weeks. Don’t make me regret this.,"portfolio, collaboration, balance",,,"No pressure, huh?",,,,,,,,emptypage,,,Gulp.,,,,,,,,emptypage,,
emptypage,firstdraft,InnerVoice,"It’s just you and the empty page now. Terrifying, isn’t it?","balance, collaboration",,,Yes.,,,,-10,,,,fear,,,No.,,,,10,5,,,emptypage2,,
emptypage2,firstdraft,InnerVoice,"If it’s not scary, then why have you been staring at the blank page for five days?","balance, collaboration",,No real choice,Uhhh...,,,,,,,,fear,,,Well...,,,,,,,,fear,,
fear,firstdraft,InnerVoice,"You seem frozen with fear. Seriously, are you even good enough for this? Can you handle this story?","balance, collaboration",,,Time for some self-reflection.,You spiral into self-loathing and doubt. Now you're too paralyzed to even open your laptop.,,,-15,,,,firstscene,,,Ignore it and push forward,You hammer out some ideas. They’re rough. They’re ugly. But  at least you're moving somewhere.,,,10,10,,,firstscene,,
firstscene,firstdraft,InnerVoice,"You’ve written the first scene, but is it any good? What if it’s terrible? Maybe you should rewrite it?","balance, collaboration",,,Rewrite it.,You’ve rewritten the same scene six times. It’s perfect. Or maybe it’s worse? Who can tell anymore?,,,-10,,,,week,,,Move forward,"The scene might not be perfect, but better mediocre progress than polished procrastination.",,,10,10,,,week,,
week,firstdraft,InnerVoice,A week has passed. You’ve written 5 pages out of 120. What’s the plan for today?,"balance, collaboration",,,Just type words,"You write two pages of not-so-great text. But hey, at least it's something, right? Right?..",,,5,10,,,tenpages,,,Seek inspiration,,,,,,,,inspiration,,
inspiration,firstdraft,InnerVoice,How do you plan to find it?,"balance, collaboration",,,Go for a walk,"Strolling the sidewalks of LA, you spot a homeless man and a dead crow. Not exactly a creative epiphany.",,,-10,,,,tenpages,,,Ask for help,,,,,,,,inspirationhelp,,
inspirationhelp,firstdraft,InnerVoice,Who will you ask for help?,"balance, collaboration, innovation",,,Your fellow screenwriter,,,,,,,,spiritualreset,,,Your screenwriting teacher,,,,,,,,mckee,,
spiritualreset,firstdraft,FellowScreenwriter,You need a spiritual reset. Let’s hit up Ayahuasca. It’ll be life-changing. Are you in?,"balance, collaboration, innovation",,,Let's go!,The trip was transformative. You saw the entire movie in your head. Too bad none of it stuck when you came back.,,10,-10,-10,,,tenpages,,,"No, thanks","You stay home and write. No breakthroughs, but you’re one page closer to a draft.",,-10,10,10,,,tenpages,,
